ISim log file
Running: /ad/eng/users/p/v/pvelarde/Desktop/final_project/final_milestone/final_milestone/test_finiteStateMachine_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /ad/eng/users/p/v/pvelarde/Desktop/final_project/final_milestone/final_milestone/test_finiteStateMachine_isim_beh.wdb 
ISim P.28xd (signature 0x54af6ca1)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	clk	reset		opcode		op_function
Finished circuit initialization process.
0	0	0		000000		000000
105	1	1		000000		000000
110	0	0		000000		000000
120	1	0		000000		000000
125	0	0		000000		000000
130	1	0		000000		000000
135	0	0		000000		000000
140	1	0		000000		000000
145	0	0		000000		000000
150	0	0		010000		000000
155	1	0		010000		000000
160	0	0		010000		000000
165	1	0		010000		000000
170	0	0		010000		000000
175	1	0		010000		000000
180	0	0		010000		000000
185	1	0		010000		000000
190	0	0		010000		000000
195	0	0		010011		000000
200	1	0		010011		000000
205	0	0		010011		000000
210	1	0		010011		000000
215	0	0		010011		000000
220	1	0		010011		000000
225	0	0		010011		000000
230	1	0		010011		000000
235	0	0		010011		000000
240	1	0		010011		000000
245	0	0		010011		000000
255	1	0		010011		000000
260	0	0		010011		000000
265	1	0		010011		000000
270	0	0		010011		000000
275	1	0		010011		000000
280	0	0		010011		000000
285	1	0		010011		000000
290	0	0		010011		000000
295	1	0		010011		000000
300	0	0		010011		000000
305	0	0		010100		000000
310	1	0		010100		000000
315	0	0		010100		000000
320	1	0		010100		000000
325	0	0		010100		000000
330	1	0		010100		000000
335	0	0		010100		000000
340	1	0		010100		000000
345	0	0		010100		000000
350	1	0		010100		000000
355	0	0		010100		000000
360	0	0		010101		000000
365	1	0		010101		000000
370	0	0		010101		000000
375	1	0		010101		000000
380	0	0		010101		000000
385	1	0		010101		000000
390	0	0		010101		000000
395	1	0		010101		000000
400	0	0		010101		000000
405	1	0		010101		000000
410	0	0		010101		000000
415	0	0		010110		000000
420	1	0		010110		000000
425	0	0		010110		000000
430	1	0		010110		000000
435	0	0		010110		000000
440	1	0		010110		000000
445	0	0		010110		000000
450	1	0		010110		000000
455	0	0		010110		000000
460	1	0		010110		000000
465	0	0		010110		000000
470	0	0		010111		000000
475	1	0		010111		000000
480	0	0		010111		000000
485	1	0		010111		000000
490	0	0		010111		000000
495	1	0		010111		000000
500	0	0		010111		000000
505	1	0		010111		000000
510	0	0		010111		000000
515	1	0		010111		000000
520	0	0		010111		000000
525	0	0		000001		000000
530	1	0		000001		000000
535	0	0		000001		000000
540	1	0		000001		000000
545	0	0		000001		000000
550	1	0		000001		000000
555	0	0		000001		000000
560	1	0		000001		000000
565	0	0		000001		000000
570	1	0		000001		000000
575	0	0		000001		000000
580	0	0		100001		000000
585	1	0		100001		000000
590	0	0		100001		000000
595	1	0		100001		000000
600	0	0		100001		000000
605	1	0		100001		000000
610	0	0		100001		000000
615	1	0		100001		000000
620	0	0		100001		000000
625	1	0		100001		000000
630	0	0		100001		000000
635	0	0		110010		000000
640	1	0		110010		000000
645	0	0		110010		000000
650	1	0		110010		000000
655	0	0		110010		000000
660	1	0		110010		000000
665	0	0		110010		000000
670	1	0		110010		000000
675	0	0		110010		000000
680	1	0		110010		000000
685	0	0		110010		000000
690	0	0		110011		000000
695	1	0		110011		000000
700	0	0		110011		000000
705	1	0		110011		000000
710	0	0		110011		000000
715	1	0		110011		000000
720	0	0		110011		000000
725	1	0		110011		000000
730	0	0		110011		000000
735	1	0		110011		000000
740	0	0		110011		000000
745	0	0		110100		000000
750	1	0		110100		000000
755	0	0		110100		000000
760	1	0		110100		000000
765	0	0		110100		000000
770	1	0		110100		000000
775	0	0		110100		000000
780	1	0		110100		000000
785	0	0		110100		000000
790	1	0		110100		000000
795	0	0		110100		000000
800	0	0		110101		000000
805	1	0		110101		000000
810	0	0		110101		000000
815	1	0		110101		000000
820	0	0		110101		000000
825	1	0		110101		000000
830	0	0		110101		000000
835	1	0		110101		000000
840	0	0		110101		000000
845	1	0		110101		000000
850	0	0		110101		000000
855	0	0		110110		000000
860	1	0		110110		000000
865	0	0		110110		000000
870	1	0		110110		000000
875	0	0		110110		000000
880	1	0		110110		000000
885	0	0		110110		000000
890	1	0		110110		000000
895	0	0		110110		000000
900	1	0		110110		000000
905	0	0		110110		000000
910	0	0		110111		000000
915	1	0		110111		000000
920	0	0		110111		000000
925	1	0		110111		000000
930	0	0		110111		000000
935	1	0		110111		000000
940	0	0		110111		000000
945	1	0		110111		000000
950	0	0		110111		000000
955	1	0		110111		000000
960	0	0		110111		000000
965	0	0		111001		000000
970	1	0		111001		000000
975	0	0		111001		000000
980	1	0		111001		000000
985	0	0		111001		000000
990	1	0		111001		000000
995	0	0		111001		000000
1000	1	0		111001		000000
